club,last_name,first_name,position,base_salary,guaranteed_compensation
Sporting Kansas City,Besler,Matt,D,750000.0,783250.0
Vancouver Whitecaps,Bevan,Myer,F,54500.04,54500.04
New York Red Bulls,Bezecourt,Vincent,M,67500.0,69921.4
LA Galaxy,Bingham,David,GK,275000.04,275000.04
Houston Dynamo,Bird,Eric,M,67500.0,67500.0
DC United,Birnbaum,Steven,D,500004.0,525004.0
LAFC,Blackmon,Tristan,D,67500.0,70233.92
Philadelphia Union,Blake,Andre,GK,450000.0,500000.0
Portland Timbers,Blanco,Sebastian,M,1300008.0,1375008.0
LAFC,Blessing,Latif,F,75000.0,84375.0
Colorado Rapids,Blomberg,Johan,M,239808.0,239808.0
Vancouver Whitecaps,Blondell,Anthony,F,249999.96,295203.21
LA Galaxy,Boateng,Emmanuel,F,130000.0,130000.0
Colorado Rapids,Boli,Yannick,F,774999.96,907499.96
Toronto FC,Bono,Alex,GK,132000.0,164000.0
Minnesota United,Boxall,Michael,D,250008.0,267341.33
Toronto FC,Bradley,Michael,M,6000000.0,6500000.0
LAFC,Brewer,Shaft,M,54500.04,56166.71
DC United,Brillant,Frederic,D,264999.96,299999.96
Chicago Fire,Bronico,Brandt,M,68254.0,68254.0
Seattle Sounders FC,Brown,Calle,GK,67500.0,67500.0
Seattle Sounders FC,Bruin,Will,F,350000.0,351666.67
New England Revolution,Bunbury,Teal,F,215000.04,260000.04
Minnesota United,Burch,Marc,D,140004.0,140004.0
Philadelphia Union,Burke,Cory,F,67500.0,71223.75
Montreal Impact,Bush,Evan,GK,157925.0,157925.0
Sporting Kansas City,Busio,Gianluca,F,80004.0,82504.0
Seattle Sounders FC,Bwana,Handwalla,M,54500.04,54500.04
New England Revolution,Bye,Brandon,D,54500.04,57760.82
Houston Dynamo,Cabezas,Juan,M,255156.0,279156.0
Montreal Impact,Cabrera,Victor,D,270000.0,270000.0
New England Revolution,Caicedo,Luis Alberto,M,300000.0,300000.0
New England Revolution,Caldwell,Scott,M,129375.0,139375.0
New York City FC,Caldwell,Jeff,GK,54500.04,54500.04
New York City FC,Callens,Alexander,D,500000.04,564000.04
Colorado Rapids,Calvert,Caleb,F,105000.0,105000.0
San Jose Earthquakes,Calvillo,Eric,M,99999.96,114999.96
Minnesota United,Calvo,Francisco,D,450000.0,522600.0
Montreal Impact,Camacho,Rudy,D,650000.04,699152.54
Chicago Fire,Campbell,Jonathan,D,120175.0,128300.0
Chicago Fire,Campos,Diego,M,54500.04,54500.04
FC Dallas,Cannon,Reggie,D,67500.0,67500.0
FC Dallas,Cano,Jordan,D,54500.04,54500.04
DC United,Canouse,Russell,M,247500.0,247500.0
Atlanta United,Carleton,Andrew,F,75000.0,87400.0
LA Galaxy,Carrasco,Servando,M,67500.0,67500.0
Portland Timbers,Cascante,Julio,D,150000.0,150000.0
New York Red Bulls,Casseres,Cristian,M,69999.96,108749.96
New York City FC,Castellanos,Valentin,M,150000.0,181008.07
Colorado Rapids,Castillo,Edgar,D,99996.0,129996.0
Houston Dynamo,Ceren,Darwin,M,225000.0,274375.0
